date,0-4,5-14,15-24,25-34,35-44,45-54,55-64,65-74,75-84,85+,0-4,5-14,15-24,25-34,35-44,45-54,55-64,65-74,75-84,85+
2020-03-04,sre.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2020-03-05,훾et.,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,1,0,0
2020-03-06,pet.,0,0,0,1,0,1,0,0,0,0,0,0,0,2,1,1,3,1,0,0
2020-03-07,sob.,0,0,0,3,0,1,1,1,0,0,0,0,0,4,1,1,3,1,0,0
2020-03-08,ned.,0,0,0,3,0,2,2,1,0,0,0,0,0,4,1,1,4,2,0,0
2020-03-09,pon.,0,0,0,5,1,2,4,1,0,1,0,0,1,5,1,1,5,4,0,0
2020-03-10,tor.,0,0,1,8,1,4,9,1,0,1,0,0,1,6,2,2,7,5,0,1
2020-03-11,sre.,0,0,2,14,5,5,12,2,1,1,0,1,2,10,5,5,9,6,0,2
2020-03-12,훾et.,0,2,4,18,7,9,16,2,1,2,0,5,5,19,9,8,15,6,0,3
2020-03-13,pet.,0,7,5,21,14,14,21,2,1,4,0,5,8,21,11,15,15,10,2,3
2020-03-14,sob.,0,9,7,25,21,15,23,2,1,4,0,7,10,25,14,18,16,12,3,3
2020-03-15,ned.,0,9,9,27,25,20,23,3,1,4,0,8,11,30,19,21,22,12,3,3
2020-03-16,pon.,0,9,11,29,26,22,28,3,1,4,0,9,11,35,22,24,25,12,3,3
2020-03-17,tor.,0,9,11,30,27,24,29,3,1,4,1,9,12,36,23,25,25,12,3,3
2020-03-18,sre.,0,9,12,34,29,28,30,5,4,7,1,9,13,38,26,29,25,13,4,3
2020-03-19,훾et.,0,9,12,37,31,28,30,6,6,8,1,9,14,40,26,32,28,14,6,5
2020-03-20,pet.,0,9,12,38,32,34,32,8,6,8,1,9,15,45,28,33,30,16,7,5
2020-03-21,sob.,0,9,13,39,35,37,33,10,9,13,1,10,15,48,32,37,32,19,9,5
2020-03-22,ned.,0,9,14,43,37,41,37,11,11,16,1,10,15,49,34,41,37,20,10,5
2020-03-23,pon.,1,9,15,45,38,47,39,12,13,20,1,10,15,50,35,44,41,23,13,6
2020-03-24,tor.,1,9,16,48,43,55,45,16,15,22,1,10,15,52,39,45,46,25,15,7
2020-03-25,sre.,1,9,19,50,46,60,48,20,15,24,1,10,15,52,44,48,53,31,17,8
2020-03-26,훾et.,1,9,20,51,50,63,53,23,22,32,1,10,15,54,47,51,58,37,21,14
2020-03-27,pet.,1,9,21,53,56,69,58,26,24,35,1,10,16,54,50,56,63,42,24,16
2020-03-28,sob.,1,9,23,54,58,73,60,29,28,40,1,10,21,56,51,58,70,43,26,19
2020-03-29,ned.,1,9,23,55,58,75,62,31,32,43,1,11,21,56,53,60,71,45,29,20
